Inserting 10000000 vehicles into Elastic
Inserting 10000000 vehicles into ClickHouse
goos: darwin
goarch: arm64
pkg: github.com/KevinJoiner/vss-translator/cmd/esVSch
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=ClickHouse                                	      69	  22611825 ns/op	 1829104 B/op	   21654 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=ClickHouse                                	      61	  22032186 ns/op	 1829158 B/op	   21654 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=ClickHouse                                	      67	  21773483 ns/op	 1828829 B/op	   21654 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=Elastic                                   	      33	  31551034 ns/op	11850327 B/op	   62291 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=Elastic                                   	      37	  35019907 ns/op	11850565 B/op	   62291 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=Elastic                                   	      33	  36425059 ns/op	11855577 B/op	   62292 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=Elastic                                   	      40	  33608026 ns/op	11850532 B/op	   62291 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=Elastic                                   	      30	  34424335 ns/op	11850396 B/op	   62294 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=Elastic                                   	      31	  33149914 ns/op	11850627 B/op	   62293 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=Elastic                                   	      33	  34670567 ns/op	11850345 B/op	   62292 allocs/op
BenchmarkClickHouseVsElasstic/SelectAny1000Vehicles/DB=Elastic                                   	      31	  33920794 ns/op	11850374 B/op	   62293 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=ClickHouse                            	      70	  17909021 ns/op	 1837454 B/op	   21673 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=ClickHouse                            	      78	  17035403 ns/op	 1836302 B/op	   21672 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=ClickHouse                            	      72	  17931900 ns/op	 1836527 B/op	   21672 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=ClickHouse                            	      63	  17865907 ns/op	 1836592 B/op	   21672 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=ClickHouse                            	      69	  17771467 ns/op	 1836295 B/op	   21672 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=ClickHouse                            	      68	  17676779 ns/op	 1836435 B/op	   21672 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=ClickHouse                            	      66	  17576768 ns/op	 1836373 B/op	   21672 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=ClickHouse                            	      79	  17946822 ns/op	 1836250 B/op	   21672 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=Elastic                               	      26	  41646998 ns/op	11852564 B/op	   62301 allocs/op
BenchmarkClickHouseVsElasstic/SelectSubject1000Vehicles/DB=Elastic                               	      27	  39585634 ns/op	11852884 B/op	   62302 allocs/op
